TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
7181,43.2679,125.904,12.6989,3506.49,2.90988,14.4576
693,36.1548,92.6481,8.64418,3493.65,2.56254,10.2699
3101,31.5125,86.338,10.9974,3500.2,2.7398,11.9598
8413,44.4195,104.331,11.255,3484.71,2.34878,13.7236
3584,45.6035,66.5372,7.403,3420.4,1.45904,8.80794
5611,41.0382,77.752,8.03626,3464.54,1.89463,9.30564
1470,33.9906,122.754,13.8966,3530.77,3.61142,14.6966
3684,33.8982,135.805,12.6439,3541.63,4.00627,15.0416
7454,43.2293,117.902,12.0366,3499.74,2.72736,14.7195
8253,40.2558,122.166,12.358,3511.11,3.03475,14.5017
634,41.4794,171.788,15.3181,3545.16,4.14153,17.3636
4344,34.3773,152.069,15.6667,3552.57,4.42352,17.403
1905,37.146,139.215,11.7688,3534.56,3.74777,14.24
802,33.0283,131.798,13.4052,3541.22,3.99047,15.1135
7114,38.1344,106.608,13.599,3502.26,2.79558,14.6711
3368,50.7674,82.5985,9.35936,3441.82,1.627,10.7397
8136,44.4809,129.859,12.4495,3506.84,2.91944,14.3681
3414,49.4139,88.3263,9.32922,3457.02,1.78748,10.0582
4444,43.2956,93.8133,8.97183,3477.01,2.16681,9.9837
141,35.263,147.201,13.7795,3546.01,4.17438,16.3372
3943,50.5776,86.8446,8.34209,3451.25,1.71706,9.44515
3324,35.8831,143.113,12.7102,3541.16,3.9883,15.403
1922,32.89,141.494,13.1791,3549.34,4.30204,15.3151
9890,39.0104,58.4908,7.17401,3425.57,1.49936,8.27496
276,38.4995,92.9734,9.54329,3487.76,2.41493,10.2511
6162,35.7204,123.893,12.5373,3526.27,3.46842,15.2846
2179,36.7781,140.205,13.0852,3536.35,3.81217,15.0907
2159,40.3759,123.279,12.6083,3511.8,3.05328,13.7227
1079,36.9832,120.547,13.7812,3519.44,3.25952,14.7244
88,46.8528,81.854,8.63572,3453.71,1.74705,10.4628
3938,31.4027,127.043,14.0194,3542.66,4.04561,16.4913
6677,38.2474,142.684,12.7441,3534.08,3.73055,14.5707
7687,30.5292,123.583,13.0371,3542.72,4.04804,14.941
6365,0,0,0,3166.59,0,0
442,30.2136,151.86,15.2193,3568.92,5.02621,17.1528
9677,37.4887,115.637,14.2266,3512.96,3.08458,14.8273
9707,41.8768,147.826,12.9693,3528.26,3.53002,14.5694
2717,41.6553,108.905,11.3645,3495.57,2.61444,13.2733
6766,35.7534,120.279,11.5446,3522.9,3.36413,13.9652
8592,37.3371,150.429,11.7162,3542.22,4.02893,14.4207
1106,31.9372,100.173,12.8884,3514.88,3.13658,14.8629
3347,39.0615,174.808,16.4002,3553.96,4.47521,16.8209
5573,45.2863,82.3515,7.7314,3459.55,1.81846,9.6257
8979,40.5358,126.026,13.5435,3513.86,3.109,15.1413
3674,37.017,100.372,11.2278,3499.15,2.71152,13.1743
1907,38.4162,76.1926,9.78708,3470.13,1.98335,11.6361
9997,36.8662,109.761,12.6744,3508.98,2.97728,15.007
3423,38.0924,104.689,9.54565,3500.51,2.74828,10.474
8020,39.7281,131.496,12.4655,3521.14,3.30989,14.7973
1753,34.1679,85.291,9.9054,3491.2,2.49623,10.4875
2722,36.635,121.958,11.4539,3521.76,3.32901,13.6528
4357,38.2652,121.247,12.3537,3516.07,3.16859,15.5398
1663,31.7553,126.263,13.2714,3540.84,3.97613,15.8906
5551,40.7801,72.028,6.90473,3455.28,1.76625,8.41147
