TrialNumber,Accumulation size Dry Gas,Accumulation size Dry Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size Dry Gas from Non Assoc. Gas,Accumulation size NGL,Accumulation size NGL,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Accumulation size NGL from Non Assoc. Gas,Average gross pay,Average net pay,Condensate yield,Depth of crest,Dry gas shrinkage factor,Expansion factor gas (1/Bg),Fraction HC gas losses / fuel use,Gas saturation,Gross rock volume - result,HC bearing gross rock volume,HC pore volume,HC water contact,HC water contact - result,Inplace.Accumulation size Assoc. Gas,Inplace.Accumulation size Condensate,Inplace.Accumulation size Gas,Inplace.Accumulation size HC liquid,Inplace.Accumulation size Non Assoc. Gas,Inplace.Accumulation size Oil,Inplace.Accumulation size Total Resources,Inplace.Yield factor Assoc. Gas,Inplace.Yield factor Condensate,Inplace.Yield factor Non Assoc. Gas,Inplace.Yield factor Oil,Net rock volume - result,Net/gross ratio,NGL yield from non-assoc. gas,Non Assoc. Gas gross rock volume,Non Assoc. Gas pore volume,Porosity,Productive area,Recoverable.Accumulation size Assoc. Gas,Recoverable.Accumulation size Condensate,Recoverable.Accumulation size Gas,Recoverable.Accumulation size HC liquid,Recoverable.Accumulation size Non Assoc. Gas,Recoverable.Accumulation size Oil,Recoverable.Accumulation size Total Resources,Recoverable.Yield factor Assoc. Gas,Recoverable.Yield factor Condensate,Recoverable.Yield factor Non Assoc. Gas,Recoverable.Yield factor Oil,Recovery factor Condensate,Recovery factor Non Assoc. Gas,Reservoir thickness,Spill point depth,Wet gas shrinkage factor
8950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6522,3621.23,0.94,263.33,0,0.814717,205.516,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.763988,0,0,0,0.140723,0,0,0,0,0,0,0,0,0,0,0,0,0.548183,0.690699,31.963,3695,1
1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8863,3571.78,0.94,251.574,0,0.774294,178.771,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.803691,0,0,0,0.159857,0,0,0,0,0,0,0,0,0,0,0,0,0.485094,0.692857,27.7444,3695,1
7490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2821,3492.23,0.94,251.267,0,0.81186,168.854,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.739212,0,0,0,0.168297,0,0,0,0,0,0,0,0,0,0,0,0,0.57024,0.752161,26.1851,3695,1
3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1875,3481.77,0.94,253.265,0,0.811672,186.297,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.816305,0,0,0,0.154558,0,0,0,0,0,0,0,0,0,0,0,0,0.568673,0.717689,28.9294,3695,1
7843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8692,3455.59,0.94,267.638,0,0.772713,218.398,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.801459,0,0,0,0.154845,0,0,0,0,0,0,0,0,0,0,0,0,0.522594,0.675201,34.0023,3695,1
5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2001,3554.97,0.94,257.641,0,0.784779,183.509,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.781744,0,0,0,0.148658,0,0,0,0,0,0,0,0,0,0,0,0,0.514437,0.744992,28.4903,3695,1
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7789,3624.26,0.94,253.69,0,0.798491,177.881,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.813871,0,0,0,0.141525,0,0,0,0,0,0,0,0,0,0,0,0,0.591147,0.664637,27.6043,3695,1
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.993,3521.86,0.94,255.298,0,0.827445,189.503,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.698551,0,0,0,0.156574,0,0,0,0,0,0,0,0,0,0,0,0,0.58627,0.662552,29.4348,3695,1
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.856,3570.43,0.94,263.771,0,0.729601,203.054,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.779375,0,0,0,0.155468,0,0,0,0,0,0,0,0,0,0,0,0,0.558475,0.686363,31.5739,3695,1
7758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8479,3570.02,0.94,252.421,0,0.763149,184.86,0,0,3166.59,3166.59,0,0,0,0,0,0,0,0,0,0,0,0,0.841435,0,0,0,0.140668,0,0,0,0,0,0,0,0,0,0,0,0,0.547805,0.687075,28.7032,3695,1
